id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,hoa/fee,features/floorCount,lastSaleDate,lastSalePrice,history/2025-06-30/event,history/2025-06-30/date
"1255-N-Cotton-St,-Unit-104,-El-Paso,-TX-79902","1255 N Cotton St, Unit 104, El Paso, TX 79902",1255 N Cotton St,Unit 104,El Paso,TX,48,79902,El Paso,141,31.784805,-106.473839,Townhouse,2,1,960,,2024,,,,,,
"9779-Mccombs-St,-Unit-D7,-El-Paso,-TX-79924","9779 Mccombs St, Unit D7, El Paso, TX 79924",9779 Mccombs St,Unit D7,El Paso,TX,48,79924,El Paso,141,31.890854,-106.40728,Townhouse,3,2,1368,,2024,,,,,,
"8419-Leo-St,-Unit-A,-El-Paso,-TX-79904","8419 Leo St, Unit A, El Paso, TX 79904",8419 Leo St,Unit A,El Paso,TX,48,79904,El Paso,141,31.857233,-106.445969,Townhouse,3,2,1030,,2025,,1,,,,
"9779-Mccombs-St,-Unit-D5,-El-Paso,-TX-79924","9779 Mccombs St, Unit D5, El Paso, TX 79924",9779 Mccombs St,Unit D5,El Paso,TX,48,79924,El Paso,141,31.890854,-106.40728,Townhouse,3,2,1368,,2024,,,,,,
"9779-Mccombs-St,-Unit-D8,-El-Paso,-TX-79924","9779 Mccombs St, Unit D8, El Paso, TX 79924",9779 Mccombs St,Unit D8,El Paso,TX,48,79924,El Paso,141,31.890854,-106.40728,Townhouse,3,2,1368,,2024,,,,,,
"9779-Mccombs-St,-Unit-E8,-El-Paso,-TX-79924","9779 Mccombs St, Unit E8, El Paso, TX 79924",9779 Mccombs St,Unit E8,El Paso,TX,48,79924,El Paso,141,31.890854,-106.40728,Townhouse,2,2,1220,,2024,,,,,,
"8937-Robert-Dr,-Apt-C,-El-Paso,-TX-79904","8937 Robert Dr, Apt C, El Paso, TX 79904",8937 Robert Dr,Apt C,El Paso,TX,48,79904,El Paso,141,31.866207,-106.434921,Townhouse,2,2,1300,,2023,,,,,,
"8423-Leo-St,-Unit-A,-El-Paso,-TX-79904","8423 Leo St, Unit A, El Paso, TX 79904",8423 Leo St,Unit A,El Paso,TX,48,79904,El Paso,141,31.857435,-106.445976,Townhouse,3,2,1030,,2025,,,,,,
"2036-Cypress-Ave,-Unit-6,-El-Paso,-TX-79905","2036 Cypress Ave, Unit 6, El Paso, TX 79905",2036 Cypress Ave,Unit 6,El Paso,TX,48,79905,El Paso,141,31.766607,-106.46312,Townhouse,2,1,633,,2023,,2,,,,
"2036-Cypress-Ave,-Unit-5,-El-Paso,-TX-79905","2036 Cypress Ave, Unit 5, El Paso, TX 79905",2036 Cypress Ave,Unit 5,El Paso,TX,48,79905,El Paso,141,31.766607,-106.46312,Townhouse,2,1,633,,2023,,2,,,,
