id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,hoa/fee
"3777-Surmise-St,-El-Paso,-TX-79938","3777 Surmise St, El Paso, TX 79938",3777 Surmise St,,El Paso,TX,48,79938,El Paso,141,31.804581,-106.199147,Single Family,4,2.5,2142,5927,2025,
"15144-Concentrate-Ave,-El-Paso,-TX-79938","15144 Concentrate Ave, El Paso, TX 79938",15144 Concentrate Ave,,El Paso,TX,48,79938,El Paso,141,31.80554,-106.193544,Single Family,4,2,1488,5227,2025,
"3765-Cast-Pl,-El-Paso,-TX-79938","3765 Cast Pl, El Paso, TX 79938",3765 Cast Pl,,El Paso,TX,48,79938,El Paso,141,31.801325,-106.192798,Single Family,4,2.5,1946,12197,2025,
"15156-Composition,-El-Paso,-TX-79938","15156 Composition, El Paso, TX 79938",15156 Composition,,El Paso,TX,48,79938,El Paso,141,31.804673,-106.19413,Single Family,3,2,1488,5203,2025,
"3745-Peak-Pl,-El-Paso,-TX-79938","3745 Peak Pl, El Paso, TX 79938",3745 Peak Pl,,El Paso,TX,48,79938,El Paso,141,31.804642,-106.196225,Single Family,3,2,1488,5227,2025,
"15340-Imagine-Dr,-El-Paso,-TX-79938","15340 Imagine Dr, El Paso, TX 79938",15340 Imagine Dr,,El Paso,TX,48,79938,El Paso,141,31.803067,-106.192891,Single Family,4,2,1363,5533,2025,
"15156-Concentrate-Ave,-El-Paso,-TX-79938","15156 Concentrate Ave, El Paso, TX 79938",15156 Concentrate Ave,,El Paso,TX,48,79938,El Paso,141,31.805538,-106.193533,Single Family,4,2,1488,5227,2025,
"3701-Bob-Snead-Dr,-El-Paso,-TX-79938","3701 Bob Snead Dr, El Paso, TX 79938",3701 Bob Snead Dr,,El Paso,TX,48,79938,El Paso,141,31.803433,-106.190716,Single Family,3,3,1647,6098,2025,
"15249-Imagine-Dr,-El-Paso,-TX-79938","15249 Imagine Dr, El Paso, TX 79938",15249 Imagine Dr,,El Paso,TX,48,79938,El Paso,141,31.803506,-106.192895,Single Family,3,2,1604,5227,2025,
"15241-Imagine-Dr,-El-Paso,-TX-79938","15241 Imagine Dr, El Paso, TX 79938",15241 Imagine Dr,,El Paso,TX,48,79938,El Paso,141,31.803497,-106.191147,Single Family,3,2.5,1400,5236,2025,
"15245-Imagine-Dr,-El-Paso,-TX-79938","15245 Imagine Dr, El Paso, TX 79938",15245 Imagine Dr,,El Paso,TX,48,79938,El Paso,141,31.803433,-106.191196,Single Family,3,2,1462,5236,2025,
"15240-Ambition-Ave,-El-Paso,-TX-79938","15240 Ambition Ave, El Paso, TX 79938",15240 Ambition Ave,,El Paso,TX,48,79938,El Paso,141,31.803895,-106.191385,Single Family,3,2,1582,5227,2025,
"15244-Ambition-Ave,-El-Paso,-TX-79938","15244 Ambition Ave, El Paso, TX 79938",15244 Ambition Ave,,El Paso,TX,48,79938,El Paso,141,31.80388,-106.191375,Single Family,3,2,1479,5236,2025,
